Date,89 Price,92 Price,95 Price
2013/03/27,6.98,7.4,7.82
2013/03/28,6.98,7.4,7.82
2013/03/29,6.98,7.4,7.82
2013/03/30,6.98,7.4,7.82
2013/03/31,6.98,7.4,7.82
2013/04/01,6.98,7.4,7.82
2013/04/02,6.98,7.4,7.82
2013/04/03,6.98,7.4,7.82
2013/04/04,6.98,7.4,7.82
2013/04/05,6.98,7.4,7.82
2013/04/06,6.98,7.4,7.82
2013/04/07,6.98,7.4,7.82
2013/04/08,6.98,7.4,7.82
2013/04/09,6.98,7.4,7.82
2013/04/10,6.98,7.4,7.82
2013/04/11,6.98,7.4,7.82
2013/04/12,6.98,7.4,7.82
2013/04/13,6.98,7.4,7.82
2013/04/14,6.98,7.4,7.82
2013/04/15,6.98,7.4,7.82
2013/04/16,6.98,7.4,7.82
2013/04/17,6.98,7.4,7.82
2013/04/18,6.98,7.4,7.82
2013/04/19,6.98,7.4,7.82
2013/04/20,6.98,7.4,7.82
2013/04/21,6.98,7.4,7.82
2013/04/22,6.98,7.4,7.82
2013/04/23,6.98,7.4,7.82
2013/04/24,6.98,7.4,7.82
2013/04/25,6.68,7.08,7.49
2013/04/26,6.68,7.08,7.49
2013/04/27,6.68,7.08,7.49
2013/04/28,6.68,7.08,7.49
2013/04/29,6.68,7.08,7.49
2013/04/30,6.68,7.08,7.49
2013/05/01,6.68,7.08,7.49
2013/05/02,6.68,7.08,7.49
2013/05/03,6.68,7.08,7.49
2013/05/04,6.68,7.08,7.49
2013/05/05,6.68,7.08,7.49
2013/05/06,6.68,7.08,7.49
2013/05/07,6.68,7.08,7.49
2013/05/08,6.68,7.08,7.49
2013/05/09,6.68,7.08,7.49
2013/05/10,6.75,7.16,7.56
2013/05/11,6.75,7.16,7.56
2013/05/12,6.75,7.16,7.56
2013/05/13,6.75,7.16,7.56
2013/05/14,6.75,7.16,7.56
2013/05/15,6.75,7.16,7.56
2013/05/16,6.75,7.16,7.56
2013/05/17,6.75,7.16,7.56
2013/05/18,6.75,7.16,7.56
2013/05/19,6.75,7.16,7.56
2013/05/20,6.75,7.16,7.56
2013/05/21,6.75,7.16,7.56
2013/05/22,6.75,7.16,7.56
2013/05/23,6.75,7.16,7.56
2013/05/24,6.75,7.16,7.56
2013/05/25,6.75,7.16,7.56
2013/05/26,6.75,7.16,7.56
2013/05/27,6.75,7.16,7.56
2013/05/28,6.75,7.16,7.56
2013/05/29,6.75,7.16,7.56
2013/05/30,6.75,7.16,7.56
2013/05/31,6.75,7.16,7.56
2013/06/01,6.75,7.16,7.56
2013/06/02,6.75,7.16,7.56
2013/06/03,6.75,7.16,7.56
2013/06/04,6.75,7.16,7.56
2013/06/05,6.75,7.16,7.56
2013/06/06,6.75,7.16,7.56
2013/06/07,6.68,7.08,7.49
2013/06/08,6.68,7.08,7.49
2013/06/09,6.68,7.08,7.49
2013/06/10,6.68,7.08,7.49
2013/06/11,6.68,7.08,7.49
2013/06/12,6.68,7.08,7.49
2013/06/13,6.68,7.08,7.49
2013/06/14,6.68,7.08,7.49
2013/06/15,6.68,7.08,7.49
2013/06/16,6.68,7.08,7.49
2013/06/17,6.68,7.08,7.49
