Date,89 Price,92 Price,95 Price,Charger,EVSales
2016/1/1,5.2,5.56,5.92,15735,
2016/2/1,5.2,5.56,5.92,16315,
2016/3/1,5.2,5.56,5.92,16490,
2016/4/1,5.33,5.69,6.06,16881,
2016/5/1,5.58,5.96,6.34,17262,
2016/6/1,5.66,6.05,6.44,17762,
2016/7/1,5.54,5.92,6.3,18404,
2016/8/1,5.51,5.89,6.27,19056,
2016/9/1,5.55,5.93,6.31,19744,
2016/10/1,5.81,6.21,6.61,20444,
2016/11/1,5.54,5.92,6.3,21024,
2016/12/1,6.07,6.49,6.91,21940,
2017/1/1,6.07,6.49,6.91,22540,
2017/2/1,6.11,6.53,6.95,23011,
2017/3/1,5.87,6.28,6.68,23521,
2017/4/1,6.02,6.44,6.85,24055,
2017/5/1,5.94,6.35,6.76,24677,
2017/6/1,5.62,6,6.39,25217,
2017/7/1,5.67,6.06,6.45,25858,
2017/8/1,5.81,6.2,6.6,26517,
2017/9/1,6.04,6.45,6.86,27897,
2017/10/1,6.04,6.45,6.86,28624,
2017/11/1,6.35,6.78,7.22,29361,
2017/12/1,6.4,6.84,7.28,30363,
2018/1/1,6.58,7.03,7.49,31024,
2018/2/1,6.46,6.9,7.34,18243,
2018/3/1,6.44,6.88,7.33,32172,
2018/4/1,6.67,7.13,7.59,33062,
2018/5/1,6.94,7.42,7.89,33916,
2018/6/1,6.8,7.27,7.74,34899,
2018/7/1,6.91,7.38,7.86,35510,
2018/8/1,6.93,7.4,7.88,36331,
2018/9/1,7.17,7.66,8.15,37214,
2018/10/1,7.47,7.99,8.5,38066,
2018/11/1,6.81,7.27,7.74,39769,
2018/12/1,6.03,6.44,6.86,41644,
2019/1/1,6.29,6.72,7.16,42067,
2019/2/1,6.33,6.76,7.2,42976,
2019/3/1,6.6,7.05,7.5,43646,
2019/4/1,6.69,7.15,7.61,44471,
2019/5/1,6.67,7.13,7.59,45376,
2019/6/1,6.23,6.66,7.09,46117,
2019/7/1,6.34,6.78,7.21,47182,
2019/8/1,6.13,6.54,6.97,49006,
2019/9/1,6.31,6.74,7.17,51047,
2019/10/1,6.19,6.62,7.04,53279,
2019/11/1,6.32,6.76,7.19,55773,
2019/12/1,6.54,6.99,7.44,59060,
2020/1/1,6.54,6.99,7.44,61447,
2020/2/1,5.92,6.32,6.73,62820,
2020/3/1,5.15,5.5,5.86,63917,
2020/4/1,5.15,5.5,5.86,65510,
2020/5/1,5.15,5.5,5.86,67486,
2020/6/1,5.24,5.6,5.96,69048,
2020/7/1,5.32,5.68,6.05,71454,
2020/8/1,5.38,5.75,6.12,74493,
2020/9/1,5.14,5.5,5.85,76998,
2020/10/1,5.2,5.56,5.92,79248,
2020/11/1,5.2,5.55,5.91,82994,
2020/12/1,5.5,5.88,6.26,87634,
2021/1/1,5.76,6.16,6.56,88212,
2021/2/1,5.97,6.38,6.79,88871,
2021/3/1,6.34,6.78,7.21,89541,
2021/4/1,6.25,6.68,7.11,90277,
2021/5/1,6.32,6.76,7.19,91004,
2021/6/1,6.63,7.08,7.53,91748,
2021/7/1,6.6,7.05,7.51,92669,
2021/8/1,6.41,6.85,7.3,93455,
2021/9/1,6.59,7.04,7.49,94790,
2021/10/1,7.07,7.56,8.04,95330,
2021/11/1,7,7.48,7.96,96194,
2021/12/1,6.58,7.03,7.48,96840,
2022/1/1,7.18,7.67,8.16,97517,
2022/2/1,7.34,7.84,8.34,98341,
2022/3/1,8.09,8.65,9.21,99253,
2022/4/1,7.92,8.46,9.01,100267,
2022/5/1,8.44,9.01,9.59,101464,
2022/6/1,8.49,9.07,9.65,102658,
2022/7/1,7.99,8.54,9.09,103319,
2022/8/1,7.74,8.27,8.8,104035,
2022/9/1,7.67,8.19,8.72,105489,
2022/10/1,7.81,8.34,8.88,106889,
2022/11/1,7.79,8.32,8.86,108089,
2022/12/1,7.1,7.58,8.07,110145,
2023/1/1,7.13,7.62,8.11,112494,5963
2023/2/1,7.29,7.79,8.29,114755,8694
2023/3/1,7.22,7.71,8.21,119518,15001
2023/4/1,7.26,7.75,8.25,121787,14929
2023/5/1,7.05,7.53,8.01,126517,13773
2023/6/1,7.06,7.54,8.03,128895,23743
2023/7/1,7.38,7.88,8.39,133799,24904
2023/8/1,7.6,8.12,8.65,137583,22063
2023/9/1,7.89,8.43,8.98,142078,19136
