Date,89 Price,92 Price,95 Price,Charger,EVSales
2016/1/1,5.18,5.58,6.05,13614,
2016/2/1,5.18,5.58,6.05,14216,
2016/3/1,5.18,5.58,6.05,14835,
2016/4/1,5.18,5.72,6.19,15542,
2016/5/1,5.24,5.98,6.48,16191,
2016/6/1,5.63,6.07,6.57,16899,
2016/7/1,5.52,5.94,6.44,17735,
2016/8/1,5.49,5.91,6.4,18422,
2016/9/1,5.52,5.95,6.44,19001,
2016/10/1,5.79,6.23,6.75,19581,
2016/11/1,5.52,5.94,6.44,20284,
2016/12/1,5.65,6.51,7.05,21108,
2017/1/1,5.52,6.51,7.05,21807,
2017/2/1,5.52,6.51,7.05,22482,
2017/3/1,5.82,6.51,7.05,23075,
2017/4/1,5.82,6.51,7.05,23701,
2017/5/1,5.91,6.37,6.9,24509,
2017/6/1,5.59,6.03,6.53,25101,
2017/7/1,5.65,6.09,6.59,25803,
2017/8/1,5.78,6.23,6.74,26455,
2017/9/1,6.01,6.47,7.01,27234,
2017/10/1,6.01,6.47,7.01,27919,
2017/11/1,6.31,6.8,7.37,28595,
2017/12/1,6.37,6.86,7.43,29262,
2018/1/1,6.55,7.05,7.64,30040,
2018/2/1,6.42,6.92,7.49,30578,
2018/3/1,6.41,6.9,7.48,31135,
2018/4/1,6.64,7.15,7.75,31703,
2018/5/1,6.9,7.44,8.05,32482,
2018/6/1,6.76,7.29,7.89,32938,
2018/7/1,6.87,7.4,8.02,33504,
2018/8/1,6.89,7.42,8.04,33992,
2018/9/1,7.13,7.68,8.32,34765,
2018/10/1,7.43,8,8.67,34997,
2018/11/1,6.77,7.29,7.9,35411,
2018/12/1,6,6.47,7,35928,
2019/1/1,6.26,6.75,7.31,38274,
2019/2/1,6.3,6.79,7.35,40562,
2019/3/1,6.56,7.07,7.66,42842,
2019/4/1,6.65,7.17,7.76,45212,
2019/5/1,6.63,7.15,7.74,47469,
2019/6/1,6.2,6.68,7.23,49942,
2019/7/1,6.31,6.8,7.36,52211,
2019/8/1,6.1,6.57,7.11,54589,
2019/9/1,6.27,6.76,7.32,56746,
2019/10/1,6.16,6.64,7.19,58979,
2019/11/1,6.29,6.78,7.34,61423,
2019/12/1,6.51,7.01,7.59,62834,
2020/1/1,6.51,7.01,7.59,64754,
2020/2/1,5.89,6.34,6.87,66858,
2020/3/1,5.13,5.53,5.99,68900,
2020/4/1,5.13,5.53,5.99,70916,
2020/5/1,5.13,5.53,5.99,72771,
2020/6/1,5.22,5.62,6.09,74660,
2020/7/1,5.3,5.7,6.18,76646,
2020/8/1,5.36,5.77,6.25,78634,
2020/9/1,5.12,5.52,5.98,80633,
2020/10/1,5.18,5.58,6.05,82625,
2020/11/1,5.18,5.58,6.04,84459,
2020/12/1,5.48,5.9,6.39,85874,
2021/1/1,5.74,6.18,6.7,93972,
2021/2/1,5.94,6.4,6.93,102049,
2021/3/1,6.31,6.8,7.36,110151,
2021/4/1,6.22,6.7,7.26,118095,
2021/5/1,6.29,6.78,7.34,126152,
2021/6/1,6.59,7.1,7.69,134173,
2021/7/1,6.57,7.07,7.66,142368,
2021/8/1,6.38,6.87,7.45,150538,
2021/9/1,6.55,7.06,7.65,158593,
2021/10/1,7.03,7.58,8.21,166571,
2021/11/1,6.96,7.5,8.12,174736,
2021/12/1,6.55,7.05,7.64,181846,
2022/1/1,7.14,7.69,8.33,198587,
2022/2/1,7.29,7.86,8.51,215268,
2022/3/1,8.04,8.66,9.39,231934,
2022/4/1,7.87,8.48,9.19,248641,
2022/5/1,8.38,9.03,9.78,265511,
2022/6/1,8.43,9.09,9.84,282180,
2022/7/1,7.94,8.56,9.27,299029,
2022/8/1,7.69,8.29,8.98,315979,
2022/9/1,7.62,8.21,8.89,332860,
2022/10/1,7.76,8.36,9.05,349636,
2022/11/1,7.74,8.34,9.04,366611,
2022/12/1,7.06,7.6,8.24,382960,
2023/1/1,7.09,7.64,8.28,395717,37504
2023/2/1,7.25,7.81,8.46,408332,50846
2023/3/1,7.17,7.73,8.37,433803,72057
2023/4/1,7.21,7.77,8.42,446644,67110
2023/5/1,7.01,7.55,8.18,472201,72310
2023/6/1,7.02,7.56,8.19,484941,87913
2023/7/1,7.34,7.9,8.56,510438,71617
2023/8/1,7.56,8.14,8.82,535508,80634
2023/9/1,7.84,8.45,9.15,550047,83745
