Date,89 Price,92 Price,95 Price,Charger,EVSales
2016/1/1,5.19,5.54,5.9,10808,
2016/2/1,5.19,5.54,5.9,11298,
2016/3/1,5.19,5.54,5.9,11849,
2016/4/1,5.32,5.68,6.04,12194,
2016/5/1,5.57,5.94,6.32,12644,
2016/6/1,5.65,6.03,6.41,13000,
2016/7/1,5.53,5.9,6.28,13347,
2016/8/1,5.5,5.87,6.24,13696,
2016/9/1,5.54,5.91,6.28,14185,
2016/10/1,5.8,6.19,6.58,14643,
2016/11/1,5.53,5.9,6.27,15095,
2016/12/1,6.06,6.47,6.88,15869,
2017/1/1,6.06,6.47,6.88,16378,
2017/2/1,6.1,6.51,6.92,17084,
2017/3/1,5.86,6.25,6.65,17521,
2017/4/1,6.01,6.41,6.82,18142,
2017/5/1,5.93,6.33,6.73,18611,
2017/6/1,5.61,5.98,6.36,19295,
2017/7/1,5.66,6.04,6.43,19749,
2017/8/1,5.79,6.18,6.58,20464,
2017/9/1,6.02,6.43,6.83,21174,
2017/10/1,6.02,6.43,6.83,21708,
2017/11/1,6.33,6.76,7.19,22075,
2017/12/1,6.38,6.81,7.25,22854,
2018/1/1,6.57,7.01,7.45,23571,
2018/2/1,6.44,6.87,7.31,24348,
2018/3/1,6.43,6.86,7.29,25032,
2018/4/1,6.66,7.1,7.56,25800,
2018/5/1,6.92,7.39,7.86,26451,
2018/6/1,6.78,7.24,7.7,27268,
2018/7/1,6.89,7.36,7.82,27973,
2018/8/1,6.91,7.37,7.84,28688,
2018/9/1,7.15,7.63,8.12,29335,
2018/10/1,7.45,7.95,8.46,29871,
2018/11/1,6.79,7.25,7.71,30333,
2018/12/1,6.02,6.42,6.83,31974,
2019/1/1,6.28,6.7,7.13,34408,
2019/2/1,6.32,6.74,7.17,38012,
2019/3/1,6.58,7.02,7.47,40369,
2019/4/1,6.67,7.12,7.57,42554,
2019/5/1,6.65,7.1,7.55,44826,
2019/6/1,6.22,6.63,7.05,47064,
2019/7/1,6.33,6.75,7.18,49285,
2019/8/1,6.11,6.52,6.94,51690,
2019/9/1,6.29,6.71,7.14,53900,
2019/10/1,6.18,6.59,7.01,56389,
2019/11/1,6.31,6.73,7.16,58723,
2019/12/1,6.53,6.96,7.41,60509,
2020/1/1,6.53,6.96,7.41,62107,
2020/2/1,5.9,6.3,6.7,64347,
2020/3/1,5.14,5.49,5.84,65636,
2020/4/1,5.14,5.49,5.84,66991,
2020/5/1,5.14,5.49,5.84,68365,
2020/6/1,5.23,5.58,5.94,69844,
2020/7/1,5.31,5.66,6.02,71067,
2020/8/1,5.37,5.73,6.1,72555,
2020/9/1,5.14,5.48,5.83,73852,
2020/10/1,5.19,5.54,5.9,75168,
2020/11/1,5.19,5.54,5.89,76403,
2020/12/1,5.49,5.86,6.23,77053,
2021/1/1,5.75,6.14,6.53,78676,
2021/2/1,5.96,6.36,6.76,80317,
2021/3/1,6.33,6.75,7.18,82081,
2021/4/1,6.23,6.65,7.08,83731,
2021/5/1,6.31,6.73,7.16,85441,
2021/6/1,6.61,7.05,7.5,87105,
2021/7/1,6.59,7.03,7.48,88888,
2021/8/1,6.4,6.83,7.26,90616,
2021/9/1,6.57,7.01,7.46,92210,
2021/10/1,7.05,7.53,8.01,93883,
2021/11/1,6.98,7.45,7.93,95426,
2021/12/1,6.56,7,7.45,97625,
2022/1/1,7.16,7.64,8.12,100298,
2022/2/1,7.32,7.81,8.3,102716,
2022/3/1,8.07,8.61,9.16,105245,
2022/4/1,7.9,8.43,8.97,107873,
2022/5/1,8.41,8.98,9.55,110419,
2022/6/1,8.46,9.03,9.61,113052,
2022/7/1,7.97,8.5,9.05,115679,
2022/8/1,7.72,8.24,8.76,120732,
2022/9/1,7.64,8.16,8.68,123367,
2022/10/1,7.78,8.31,8.83,125734,
2022/11/1,7.77,8.29,8.82,128282,
2022/12/1,7.08,7.55,8.04,129677,
2023/1/1,7.11,7.59,8.07,134574,31279
2023/2/1,7.27,7.76,8.25,139471,38961
2023/3/1,7.2,7.68,8.17,144342,53188
2023/4/1,7.24,7.72,8.21,152164,45055
2023/5/1,7.03,7.5,7.98,158107,51594
2023/6/1,7.04,7.51,7.99,168545,61634
2023/7/1,7.36,7.85,8.35,177990,54692
2023/8/1,7.58,8.09,8.6,186700,60541
2023/9/1,7.87,8.4,8.93,192744,61495
