Date,89 Price,92 Price,95 Price,Charger,EVSales
2016/1/1,5.16,5.53,5.88,7124,
2016/2/1,5.16,5.53,5.88,7842,
2016/3/1,5.16,5.53,5.88,8672,
2016/4/1,5.28,5.66,6.02,9447,
2016/5/1,5.53,5.92,6.3,10129,
2016/6/1,5.61,6.01,6.4,10936,
2016/7/1,5.49,5.89,6.27,11804,
2016/8/1,5.46,5.85,6.23,12589,
2016/9/1,5.5,5.89,6.27,13530,
2016/10/1,5.76,6.18,6.57,14487,
2016/11/1,5.49,5.88,6.26,15447,
2016/12/1,6.02,6.45,6.87,16444,
2017/1/1,6.02,6.45,6.87,17401,
2017/2/1,6.06,6.49,6.91,18180,
2017/3/1,5.82,6.24,6.64,18969,
2017/4/1,5.97,6.4,6.81,19773,
2017/5/1,5.89,6.31,6.72,20615,
2017/6/1,5.57,5.97,6.35,21609,
2017/7/1,5.62,6.03,6.42,22350,
2017/8/1,5.76,6.17,6.56,23134,
2017/9/1,5.98,6.41,6.82,23979,
2017/10/1,5.98,6.41,6.82,24832,
2017/11/1,6.29,6.75,7.18,25586,
2017/12/1,6.35,6.8,7.24,26314,
2018/1/1,6.53,7,7.45,27437,
2018/2/1,6.4,6.86,7.3,28648,
2018/3/1,6.39,6.85,7.28,29876,
2018/4/1,6.62,7.09,7.55,31055,
2018/5/1,6.88,7.38,7.85,32129,
2018/6/1,6.75,7.23,7.69,33142,
2018/7/1,6.85,7.35,7.82,34299,
2018/8/1,6.87,7.36,7.83,35431,
2018/9/1,7.11,7.62,8.11,36658,
2018/10/1,7.41,7.95,8.46,37926,
2018/11/1,6.75,7.24,7.7,38712,
2018/12/1,5.98,6.41,6.82,39303,
2019/1/1,6.24,6.69,7.12,41027,
2019/2/1,6.28,6.73,7.16,42262,
2019/3/1,6.54,7.01,7.46,43524,
2019/4/1,6.63,7.11,7.57,44891,
2019/5/1,6.61,7.09,7.54,46388,
2019/6/1,6.18,6.62,7.05,47742,
2019/7/1,6.29,6.74,7.17,49021,
2019/8/1,6.07,6.51,6.93,50303,
2019/9/1,6.25,6.7,7.13,51575,
2019/10/1,6.14,6.58,7,52815,
2019/11/1,6.27,6.72,7.15,54054,
2019/12/1,6.49,6.95,7.4,55113,
2020/1/1,6.49,6.95,7.4,58575,
2020/2/1,5.86,6.28,6.69,61003,
2020/3/1,5.11,5.47,5.82,63531,
2020/4/1,5.11,5.47,5.82,65958,
2020/5/1,5.11,5.47,5.82,68610,
2020/6/1,5.2,5.57,5.93,71027,
2020/7/1,5.27,5.65,6.01,73595,
2020/8/1,5.33,5.72,6.08,76256,
2020/9/1,5.1,5.46,5.81,78639,
2020/10/1,5.16,5.53,5.88,81315,
2020/11/1,5.15,5.52,5.87,83904,
2020/12/1,5.45,5.84,6.22,85538,
2021/1/1,5.71,6.12,6.52,87070,
2021/2/1,5.92,6.35,6.75,88603,
2021/3/1,6.29,6.74,7.17,90142,
2021/4/1,6.2,6.64,7.07,91813,
2021/5/1,6.27,6.72,7.15,93463,
2021/6/1,6.57,7.04,7.49,94916,
2021/7/1,6.55,7.02,7.47,96367,
2021/8/1,6.36,6.82,7.25,97854,
2021/9/1,6.53,7,7.45,99380,
2021/10/1,7.01,7.52,8,100964,
2021/11/1,6.94,7.44,7.92,102537,
2021/12/1,6.53,6.99,7.44,103249,
2022/1/1,7.12,7.63,8.12,104998,
2022/2/1,7.28,7.8,8.3,106496,
2022/3/1,8.03,8.61,9.16,108209,
2022/4/1,7.86,8.42,8.96,109976,
2022/5/1,8.37,8.97,9.55,111555,
2022/6/1,8.42,9.03,9.61,113346,
2022/7/1,7.93,8.5,9.04,115033,
2022/8/1,7.68,8.23,8.76,116581,
2022/9/1,7.6,8.15,8.67,118354,
2022/10/1,7.74,8.3,8.83,119999,
2022/11/1,7.73,8.28,8.81,121761,
2022/12/1,7.04,7.55,8.03,122235,
2023/1/1,7.07,7.58,8.07,125791,12361
2023/2/1,7.23,7.75,8.25,129290,17698
2023/3/1,7.16,7.67,8.16,132912,32404
2023/4/1,7.2,7.71,8.21,138109,23249
2023/5/1,6.99,7.49,7.97,143636,29390
2023/6/1,7,7.5,7.98,147031,36689
2023/7/1,7.32,7.85,8.35,154214,24261
2023/8/1,7.54,8.08,8.6,163601,30445
2023/9/1,7.83,8.39,8.93,170027,29296
