Date,89 Price,92 Price,95 Price,Charger,EVSales
2016/1/1,5.14,5.54,5.9,1044,
2016/2/1,5.14,5.54,5.9,1572,
2016/3/1,5.14,5.54,5.9,1957,
2016/4/1,5.26,5.68,6.04,2283,
2016/5/1,5.51,5.94,6.32,2716,
2016/6/1,5.59,6.03,6.41,2972,
2016/7/1,5.47,5.9,6.28,3500,
2016/8/1,5.44,5.87,6.24,3759,
2016/9/1,5.48,5.91,6.28,4292,
2016/10/1,5.74,6.19,6.58,4732,
2016/11/1,5.47,5.9,6.27,5167,
2016/12/1,5.99,6.47,6.88,5246,
2017/1/1,6.45,6.96,7.4,5651,
2017/2/1,6.03,6.51,6.92,6222,
2017/3/1,5.8,6.25,6.65,6741,
2017/4/1,5.95,6.41,6.82,7308,
2017/5/1,5.82,6.33,6.73,7807,
2017/6/1,5.55,5.98,6.36,8159,
2017/7/1,5.66,6.04,6.43,8643,
2017/8/1,5.73,6.18,6.57,9093,
2017/9/1,5.96,6.43,6.83,9644,
2017/10/1,5.96,6.43,6.83,9722,
2017/11/1,6.26,6.76,7.19,9804,
2017/12/1,6.32,6.81,7.25,9866,
2018/1/1,6.5,7.01,7.45,10285,
2018/2/1,6.37,6.87,7.31,10783,
2018/3/1,6.36,6.86,7.29,11221,
2018/4/1,6.59,7.1,7.56,11468,
2018/5/1,6.85,7.39,7.86,11769,
2018/6/1,6.71,7.24,7.7,12292,
2018/7/1,6.82,7.36,7.82,12780,
2018/8/1,6.83,7.37,7.84,13136,
2018/9/1,7.07,7.63,8.12,13692,
2018/10/1,7.37,7.95,8.46,13803,
2018/11/1,6.72,7.25,7.71,14026,
2018/12/1,5.95,6.42,6.83,14226,
2019/1/1,6.21,6.7,7.13,15339,
2019/2/1,6.25,6.74,7.17,16489,
2019/3/1,6.51,7.02,7.47,17733,
2019/4/1,6.6,7.12,7.57,18819,
2019/5/1,6.58,7.1,7.55,20009,
2019/6/1,6.15,6.63,7.05,21169,
2019/7/1,6.26,6.75,7.18,22359,
2019/8/1,6.05,6.52,6.94,24507,
2019/9/1,6.22,6.71,7.14,25735,
2019/10/1,6.11,6.59,7.01,26910,
2019/11/1,6.24,6.73,7.16,27970,
2019/12/1,6.46,6.96,7.41,29138,
2020/1/1,6.46,6.96,7.41,31955,
2020/2/1,5.84,6.3,6.7,34685,
2020/3/1,5.09,5.49,5.84,37518,
2020/4/1,5.09,5.49,5.84,40315,
2020/5/1,5.09,5.49,5.84,43089,
2020/6/1,5.18,5.58,5.94,45809,
2020/7/1,5.25,5.66,6.02,48657,
2020/8/1,5.31,5.73,6.1,51465,
2020/9/1,5.08,5.48,5.83,54120,
2020/10/1,5.14,5.54,5.9,56843,
2020/11/1,5.13,5.54,5.89,59550,
2020/12/1,5.43,5.86,6.23,61542,
2021/1/1,5.69,6.14,6.53,63264,
2021/2/1,5.89,6.36,6.76,65050,
2021/3/1,6.26,6.75,7.18,66786,
2021/4/1,6.17,6.65,7.08,68412,
2021/5/1,6.24,6.73,7.16,70070,
2021/6/1,6.54,7.05,7.5,71738,
2021/7/1,6.52,7.03,7.48,73377,
2021/8/1,6.33,6.83,7.26,75102,
2021/9/1,6.5,7.01,7.46,76897,
2021/10/1,6.98,7.53,8.01,78514,
2021/11/1,6.91,7.45,7.92,80220,
2021/12/1,6.49,7,7.45,82041,
2022/1/1,7.08,7.64,8.12,85780,
2022/2/1,7.24,7.81,8.3,89420,
2022/3/1,7.98,8.61,9.16,93166,
2022/4/1,7.81,8.43,8.96,96799,
2022/5/1,8.32,8.98,9.55,100420,
2022/6/1,8.37,9.03,9.61,104023,
2022/7/1,7.88,8.5,9.05,107744,
2022/8/1,7.64,8.24,8.76,111316,
2022/9/1,7.56,8.16,8.68,115043,
2022/10/1,7.7,8.3,8.83,118745,
2022/11/1,7.68,8.29,8.82,122484,
2022/12/1,7,7.55,8.04,125918,
2023/1/1,7.04,7.59,8.07,130879,32863
2023/2/1,7.19,7.76,8.25,135742,52468
2023/3/1,7.12,7.68,8.17,145551,67407
2023/4/1,7.16,7.72,8.21,155789,48303
2023/5/1,6.95,7.5,7.98,165955,51474
2023/6/1,6.91,7.45,7.93,170936,59604
2023/7/1,7.08,7.63,8.12,176999,54040
2023/8/1,7.5,8.09,8.6,185054,65843
2023/9/1,7.78,8.4,8.93,193027,60819
