Date,Open
17-03-1980,0
18-03-1980,0
19-03-1980,3.304605961
20-03-1980,0
21-03-1980,0
24-03-1980,0
25-03-1980,0
26-03-1980,0
27-03-1980,0
28-03-1980,0
31-03-1980,0
01-04-1980,0
02-04-1980,0
03-04-1980,3.237710953
07-04-1980,0
08-04-1980,0
09-04-1980,0
10-04-1980,0
11-04-1980,0
14-04-1980,3.371500969
15-04-1980,0
16-04-1980,0
17-04-1980,3.47853303
18-04-1980,0
21-04-1980,0
22-04-1980,3.425017118
23-04-1980,0
24-04-1980,0
25-04-1980,0
28-04-1980,0
29-04-1980,0
30-04-1980,0
01-05-1980,0
02-05-1980,3.665838957
05-05-1980,0
06-05-1980,0
07-05-1980,3.772870064
08-05-1980,0
09-05-1980,0
12-05-1980,0
13-05-1980,0
14-05-1980,0
15-05-1980,3.879901886
16-05-1980,0
19-05-1980,0
20-05-1980,0
21-05-1980,0
22-05-1980,0
23-05-1980,0
27-05-1980,0
28-05-1980,0
29-05-1980,3.960175991
30-05-1980,0
02-06-1980,0
03-06-1980,0
04-06-1980,0
05-06-1980,3.973555088
06-06-1980,0
09-06-1980,0
10-06-1980,0
11-06-1980,4.053829193
12-06-1980,4.053829193
13-06-1980,4.053829193
16-06-1980,0
17-06-1980,0
18-06-1980,4.040450096
19-06-1980,0
20-06-1980,0
23-06-1980,4.040450096
24-06-1980,0
25-06-1980,3.772870064
26-06-1980,0
27-06-1980,3.877226114
30-06-1980,0
01-07-1980,0
02-07-1980,0
03-07-1980,0
07-07-1980,0
08-07-1980,0
09-07-1980,0
10-07-1980,0
11-07-1980,3.933418036
14-07-1980,0
15-07-1980,0
16-07-1980,3.778891087
17-07-1980,0
18-07-1980,0
21-07-1980,0
22-07-1980,3.764842987
23-07-1980,0
24-07-1980,3.722698927
25-07-1980,0
28-07-1980,0
29-07-1980,3.680555105
30-07-1980,0
31-07-1980,3.680555105
01-08-1980,0
04-08-1980,0
05-08-1980,0
06-08-1980,3.708651066
07-08-1980,3.708651066
08-08-1980,3.708651066
11-08-1980,0
12-08-1980,0
13-08-1980,0
14-08-1980,0
15-08-1980,3.792938948
18-08-1980,0
19-08-1980,0
20-08-1980,0
21-08-1980,0
22-08-1980,3.891273975
25-08-1980,0
26-08-1980,0
27-08-1980,0
28-08-1980,0
29-08-1980,3.975562096
02-09-1980,0
03-09-1980,3.989609957
04-09-1980,0
05-09-1980,0
08-09-1980,3.961513996
09-09-1980,0
10-09-1980,0
11-09-1980,0
